"subject","group","task","run","BOLD","param","value","range"
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","SD_(mask)",165.848967238807,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Min_Slice_SNR",349.543379035661,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_Slice_SNR",715.846899095783,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean_voxel_SNR",493.022545679312,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean_absolute_Movement",0.0829907788074326,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_absolute_Movement",0.645,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_relative_Movement",0.2847,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>0.1mm)",99,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>0.5mm)",0,NA
"sub-experimental004","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>voxelsize)",0,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_MEAN",11.824712832037,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_STD",3.12258758248551,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_value_range",NA," 0.0 - 13.89010989010989"
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean",97.1533097623186,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_(mask)",375.080331195998,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","SD",183.563719841321,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","SD_(mask)",160.760646007195,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Min_Slice_SNR",388.491582334877,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_Slice_SNR",717.682338598074,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_voxel_SNR",541.7042473544,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_absolute_Movement",0.236170096037392,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_absolute_Movement",0.7126,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_relative_Movement",0.4771,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>0.1mm)",150,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>0.5mm)",0,NA
"sub-experimental004","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>voxelsize)",0,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_MEAN",11.7941090773968,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_STD",3.11466352000059,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_value_range",NA," 0.0 - 13.855643044619423"
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean",96.3888298727954,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_(mask)",373.53721699138,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","SD",182.961985132314,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","SD_(mask)",161.868223059293,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Min_Slice_SNR",384.137970153963,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_Slice_SNR",705.304891935771,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_voxel_SNR",540.072658333932,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_absolute_Movement",0.296448158712747,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_absolute_Movement",0.8646,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_relative_Movement",0.3768,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>0.1mm)",113,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>0.5mm)",0,NA
"sub-experimental004","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>voxelsize)",0,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","SNR_voxel_MEAN",12.1662996199324,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","SNR_voxel_STD",3.23144461631535,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","SNR_voxel_value_range",NA," 0.0 - 14.383333333333333"
"sub-experimental004","experimental","rest",1,"rest_run-1","Mean",101.245414511191,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Mean_(mask)",389.618228124524,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","SD",190.645822139159,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","SD_(mask)",165.869633584092,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Min_Slice_SNR",342.582012301289,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Max_Slice_SNR",700.44390695682,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Mean_voxel_SNR",481.746435870265,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Mean_absolute_Movement",0.132175809867888,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Max_absolute_Movement",0.455269135382721,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Max_relative_Movement",0.2299,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Relative_movements_(>0.1mm)",142,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Relative_movements_(>0.5mm)",0,NA
"sub-experimental004","experimental","rest",1,"rest_run-1","Relative_movements_(>voxelsize)",0,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","SNR_voxel_MEAN",11.9162670678491,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","SNR_voxel_STD",3.15406014514005,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","SNR_voxel_value_range",NA," 0.0 - 14.033333333333333"
"sub-experimental004","experimental","rest",2,"rest_run-2","Mean",97.0670178112683,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Mean_(mask)",375.646706757573,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","SD",183.331736497572,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","SD_(mask)",159.4499076007,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Min_Slice_SNR",370.949807707117,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Max_Slice_SNR",666.355376161624,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Mean_voxel_SNR",513.339629300768,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Mean_absolute_Movement",0.127707385110079,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Max_absolute_Movement",0.395317075576716,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Max_relative_Movement",0.3693,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Relative_movements_(>0.1mm)",205,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Relative_movements_(>0.5mm)",0,NA
"sub-experimental004","experimental","rest",2,"rest_run-2","Relative_movements_(>voxelsize)",0,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_MEAN",12.0430426116287,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_STD",3.20197546176502,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_value_range",NA," 0.0 - 14.244897959183673"
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean",118.040847820402,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean_(mask)",439.735671030863,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","SD",222.922815801288,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","SD_(mask)",208.963482521186,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Min_Slice_SNR",293.560265493935,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_Slice_SNR",868.803689163458,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean_voxel_SNR",535.589770433969,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean_absolute_Movement",0.235870290459517,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_absolute_Movement",1.4859,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_relative_Movement",0.5116,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>0.1mm)",29,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>0.5mm)",1,NA
"sub-experimental005","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>voxelsize)",0,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_MEAN",11.9235289749554,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_STD",3.16530671532447,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_value_range",NA," 0.0 - 14.046632124352332"
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean",116.000773277224,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_(mask)",429.506955405679,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","SD",217.344021483064,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","SD_(mask)",200.631295227596,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Min_Slice_SNR",317.120714482134,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_Slice_SNR",842.21135435756,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_voxel_SNR",542.250227512438,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_absolute_Movement",0.246838267066056,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_absolute_Movement",0.725969702367041,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_relative_Movement",0.1532,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>0.1mm)",10,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>0.5mm)",0,NA
"sub-experimental005","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>voxelsize)",0,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_MEAN",11.8683336832981,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_STD",3.15059033238615,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_value_range",NA," 0.0 - 13.98060941828255"
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean",115.918975325146,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_(mask)",428.095439444317,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","SD",216.974297428776,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","SD_(mask)",200.548921712899,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Min_Slice_SNR",321.644840218536,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_Slice_SNR",842.455296145538,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_voxel_SNR",543.677950737332,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_absolute_Movement",0.153667007563981,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_absolute_Movement",0.5539,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_relative_Movement",0.367,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>0.1mm)",7,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>0.5mm)",0,NA
"sub-experimental005","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>voxelsize)",0,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","SNR_voxel_MEAN",12.1119314822635,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","SNR_voxel_STD",3.22172520112046,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","SNR_voxel_value_range",NA," 0.0 - 14.326666666666666"
"sub-experimental005","experimental","rest",1,"rest_run-1","Mean",118.015706160262,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Mean_(mask)",445.068339720301,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","SD",225.116394125032,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","SD_(mask)",213.440924526462,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Min_Slice_SNR",279.35974666958,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Max_Slice_SNR",887.9966142623,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Mean_voxel_SNR",527.78086635503,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Mean_absolute_Movement",0.235254148329963,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Max_absolute_Movement",0.7225,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Max_relative_Movement",0.1365,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Relative_movements_(>0.1mm)",4,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Relative_movements_(>0.5mm)",0,NA
"sub-experimental005","experimental","rest",1,"rest_run-1","Relative_movements_(>voxelsize)",0,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","SNR_voxel_MEAN",11.8135489688908,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","SNR_voxel_STD",3.13841383484638,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","SNR_voxel_value_range",NA," 0.0 - 13.896666666666667"
"sub-experimental005","experimental","rest",2,"rest_run-2","Mean",114.739820699606,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Mean_(mask)",422.844307622475,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","SD",213.565224964525,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","SD_(mask)",194.432937159313,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Min_Slice_SNR",323.473138234396,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Max_Slice_SNR",811.678266176179,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Mean_voxel_SNR",541.445484446774,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Mean_absolute_Movement",0.0654562954486974,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Max_absolute_Movement",0.3037,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Max_relative_Movement",0.1117,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Relative_movements_(>0.1mm)",1,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Relative_movements_(>0.5mm)",0,NA
"sub-experimental005","experimental","rest",2,"rest_run-2","Relative_movements_(>voxelsize)",0,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_MEAN",11.9153526516705,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_STD",3.1559359203382,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_value_range",NA," 0.0 - 14.04221635883905"
