Subj1	Subj2	grp	corrCuriosity	grpCorrCuriosity	corrConfidence	grpCorrConfidence	corrAllConf	grpCorrAllConf	corrHighConf	grpCorrHighConf	corrAboveAvgConf	grpCorrAboveAvgConf	corrContConf	grpCorrContConf	cuBetaAllConf	grpCuBetaAllConf	cuBetaHighConf	grpCuBetaHighConf	cuBetaAboveAvgConf	grpCuBetaAboveAvgConf	cuBetaContConf	grpCuBetaContConf	uniqueCurAboveAvgConf	grpUniqueCurAboveAvgConf	uniqueMemAboveAvgConf	grpUniqueMemAboveAvgConf	uniqueConfidence	grpUniqueConfidence	InputFile	\
sub-control009	sub-experimental004	0	0.193809264275892	0	0.221454612943307	0	0.379884711311137	0	0.183547544047155	0	0.318952612829507	0	0.18593437977007	0	-0.0691071237383516	0	-0.0326281719702782	0	-0.064215299028086	0	-0.0378266049670707	0	0.0938735671396569	0	0.100721636041506	0	-0.0193216650361123	0	ISC_sub-control009sub-experimental004_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental005	0	-0.114431049670057	0	0.250037166431485	0	-0.0697389673941405	0	0.114551083591331	0	0.161743595582868	0	0.0786416903517283	0	0	0	0	0	0	0	0	0	-0.199812593828384	0	-0.0260111626094497	0	0.0312273088739777	0	ISC_sub-control009sub-experimental005_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental006	0	0.361709888474635	0	0.336787657027282	0	0.197565832229452	0	0.286161746031228	0	0.318529494648516	0	0.414592558887514	0	-0.0874346194209495	0	-0.00278590693799102	0	-0.0191516554915403	0	-0.0284150257280751	0	0.261813362925639	0	0.0836979114702366	0	0.104918590430262	0	ISC_sub-control009sub-experimental006_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental008	0	0.121942562533607	0	0.425342972589507	0	0.424577030288917	0	0.324137152253487	0	0.443760156980183	0	0.24179268526621	0	-0.0981002681963595	0	-0.0325354858957385	0	-0.0513526923011356	0	-0.0449077777369788	0	0.0104523876569749	0	0.232634757279133	0	0.182383245839946	0	ISC_sub-control009sub-experimental008_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental010	0	0.0219969459923168	0	0.273153702786577	0	0.125723711418742	0	-0.0196722368841158	0	0.387298334620742	0	0.0737791121898373	0	-0.0621515614276338	0	-0.0453405094011589	0	-0.0710309418681936	0	-0.0422994645270595	0	-0.0842660859734121	0	0.1860547197466	0	0.04479449188549	0	ISC_sub-control009sub-experimental010_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental012	0	0.221796553734525	0	0.394053642192699	0	0.411537099233793	0	0.35337091141178	0	0.254823595718813	0	0.301720364599109	0	0.0425633693688608	0	0.0324883804689009	0	0.0692955699397531	0	0.0689721674080899	0	0.127797815824285	0	0.0338254703365124	0	0.151730982887304	0	ISC_sub-control009sub-experimental012_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental014	0	0.42955686904418	0	0.565656565656566	0	-0.0463738895760168	0	0.385696266389916	0	0.491397570106278	0	0.404627650249735	0	0.0136528336476693	0	0.00875369204155611	0	-0.0490713685934439	0	-0.00671099955632344	0	0.313656500590539	0	0.249857846177607	0	0.345705204333017	0	ISC_sub-control009sub-experimental014_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental016	0	0.0443796138980524	0	0.12460152291404	0	-0.149345731326469	0	-0.338886107677669	0	-0.229227953237502	0	-0.00812519640120599	0	-0.126462000371117	0	-0.0194921012233229	0	-0.0582194063615269	0	-0.0847171907381424	0	-0.00480642550360828	0	-0.432684578704312	0	-0.0903191363476812	0	ISC_sub-control009sub-experimental016_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental018	0	-0.0559848999939097	0	0.111907064542949	0	0.339422116651065	0	0.12441815044836	0	0.2	0	0.0315818999186862	0	-0.106658832837816	0	-0.0370874738092732	0	-0.105272086053639	0	-0.0609487815446305	0	-0.144908159328778	0	0.00646657641896687	0	-0.126892408370901	0	ISC_sub-control009sub-experimental018_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental020	0	0.184468502679961	0	0.400822474402021	0	0.397573283972945	0	0.385696266389916	0	0.604743156814764	0	0.359867951850139	0	-0.0298231702386559	0	0.00913914812770081	0	-0.0168372662636969	0	-0.00608423942856828	0	0.0580747857071443	0	0.387435716239802	0	0.159182019017907	0	ISC_sub-control009sub-experimental020_magictrickwatching_z.nii.gz	\
